GEOID,NAME,unemployment_rate
18001,"Adams County, Indiana",3.2
18003,"Allen County, Indiana",4.8
18005,"Bartholomew County, Indiana",3.6
18007,"Benton County, Indiana",3.7
18009,"Blackford County, Indiana",5.5
18011,"Boone County, Indiana",3.1
18013,"Brown County, Indiana",3.9
18015,"Carroll County, Indiana",3.1
18017,"Cass County, Indiana",4.2
18019,"Clark County, Indiana",3.7
18021,"Clay County, Indiana",4.3
18023,"Clinton County, Indiana",3.4
18025,"Crawford County, Indiana",3.6
18027,"Daviess County, Indiana",1.9
18029,"Dearborn County, Indiana",2.1
18031,"Decatur County, Indiana",3.1
18033,"DeKalb County, Indiana",4.3
18035,"Delaware County, Indiana",6.1
18037,"Dubois County, Indiana",1.8
18039,"Elkhart County, Indiana",3.8
18041,"Fayette County, Indiana",4.5
18043,"Floyd County, Indiana",3.9
18045,"Fountain County, Indiana",5.2
18047,"Franklin County, Indiana",2.1
18049,"Fulton County, Indiana",7.2
18051,"Gibson County, Indiana",2.8
18053,"Grant County, Indiana",7.3
18055,"Greene County, Indiana",6.7
18057,"Hamilton County, Indiana",2.7
18059,"Hancock County, Indiana",2.7
18061,"Harrison County, Indiana",3.8
18063,"Hendricks County, Indiana",2.4
18065,"Henry County, Indiana",4.5
18067,"Howard County, Indiana",5.8
18069,"Huntington County, Indiana",3.4
18071,"Jackson County, Indiana",2.7
18073,"Jasper County, Indiana",4.1
18075,"Jay County, Indiana",4.4
18077,"Jefferson County, Indiana",3.4
18079,"Jennings County, Indiana",5.0
18081,"Johnson County, Indiana",3.4
18083,"Knox County, Indiana",3.2
18085,"Kosciusko County, Indiana",3.3
18087,"LaGrange County, Indiana",3.2
18089,"Lake County, Indiana",6.7
18091,"LaPorte County, Indiana",5.0
18093,"Lawrence County, Indiana",3.3
18095,"Madison County, Indiana",5.5
18097,"Marion County, Indiana",5.5
18099,"Marshall County, Indiana",3.0
18101,"Martin County, Indiana",1.9
18103,"Miami County, Indiana",4.5
18105,"Monroe County, Indiana",5.8
18107,"Montgomery County, Indiana",4.0
18109,"Morgan County, Indiana",4.0
18111,"Newton County, Indiana",9.6
18113,"Noble County, Indiana",3.4
18115,"Ohio County, Indiana",1.8
18117,"Orange County, Indiana",3.0
18119,"Owen County, Indiana",5.2
18121,"Parke County, Indiana",5.6
18123,"Perry County, Indiana",5.1
18125,"Pike County, Indiana",3.6
18127,"Porter County, Indiana",4.2
18129,"Posey County, Indiana",2.8
18131,"Pulaski County, Indiana",3.8
18133,"Putnam County, Indiana",2.8
18135,"Randolph County, Indiana",5.6
18137,"Ripley County, Indiana",3.3
18139,"Rush County, Indiana",6.3
18141,"St. Joseph County, Indiana",4.8
18143,"Scott County, Indiana",4.8
18145,"Shelby County, Indiana",3.3
18147,"Spencer County, Indiana",3.3
18149,"Starke County, Indiana",4.0
18151,"Steuben County, Indiana",7.1
18153,"Sullivan County, Indiana",5.0
18155,"Switzerland County, Indiana",4.4
18157,"Tippecanoe County, Indiana",3.6
18159,"Tipton County, Indiana",3.8
18161,"Union County, Indiana",5.1
18163,"Vanderburgh County, Indiana",4.7
18165,"Vermillion County, Indiana",7.4
18167,"Vigo County, Indiana",6.0
18169,"Wabash County, Indiana",3.5
18171,"Warren County, Indiana",3.1
18173,"Warrick County, Indiana",3.3
18175,"Washington County, Indiana",4.2
18177,"Wayne County, Indiana",4.5
18179,"Wells County, Indiana",2.4
18181,"White County, Indiana",4.4
18183,"Whitley County, Indiana",4.0
